City,Temperature,Humidity,Clouds,Winds,Country,Date,Latitude,Longitude
Ushuaia,49.66,37,0,8.05,AR,1666733048,-54.8,-68.3
Puerto Ayora,68.56,91,81,5.99,EC,1666733602,-0.7393,-90.3518
Busselton,53.37,91,66,3.11,AU,1666733206,-33.65,115.3333
Gamba,76.87,89,77,1.45,GA,1666733243,-2.65,10.0
Ostrovnoy,31.19,88,93,17.43,RU,1666733596,68.0531,39.5131
Yellowknife,21.72,93,75,11.5,CA,1666733009,62.456,-114.3525
Flinders,67.8,79,68,8.99,AU,1666733740,-34.5833,150.8552
Vaini,75.36,64,75,4.61,TO,1666733741,-21.2,-175.2
Qaanaaq,22.3,96,100,3.62,GL,1666733561,77.484,-69.3632
Tuktoyaktuk,12.2,92,75,6.91,CA,1666733543,69.4541,-133.0374
Cherskiy,-5.1,93,52,7.07,RU,1666733742,68.75,161.3
Port Alfred,62.19,86,99,5.01,ZA,1666733680,-33.5906,26.891
Port Elizabeth,62.89,77,40,13.8,ZA,1666733524,-33.918,25.5701
Tatarsk,29.61,79,100,6.78,RU,1666733743,55.219,75.9828
Usogorsk,31.26,87,90,5.77,RU,1666733743,63.4106,48.6872
Cape Town,60.75,78,0,17.27,ZA,1666733548,-33.9258,18.4232
Mahébourg,71.89,78,40,9.22,MU,1666733339,-20.4081,57.7
Bambous Virieux,71.85,78,40,9.22,MU,1666733601,-20.3428,57.7575
Mizdah,64.83,41,4,3.98,LY,1666733744,31.4451,12.9801
Izumo,46.29,93,20,10.36,JP,1666733598,35.3667,132.7667
East London,64.36,69,100,10.67,ZA,1666733594,-33.0153,27.9116
Rūdsar,60.78,82,33,2.35,IR,1666733353,37.1376,50.288
Mataura,53.47,60,100,4.14,NZ,1666733525,-46.1927,168.8643
Verkhnyaya Balkariya,34.72,58,71,5.75,RU,1666733745,43.1279,43.4573
Nikolskoye,35.19,89,100,7.67,RU,1666733583,59.7035,30.7861
Labytnangi,20.12,87,96,5.35,RU,1666733746,66.6572,66.4183
Bratsk,27.09,56,90,6.4,RU,1666733746,56.1325,101.6142
Gigmoto,80.98,86,95,14.83,PH,1666733747,13.7796,124.39
Nirmāli,67.78,74,0,3.67,IN,1666733747,26.3167,86.5833
Düzce,59.25,55,12,5.39,TR,1666733748,40.8389,31.1639
Shakawe,80.4,33,83,2.95,BW,1666733748,-18.3667,21.85
Barrow,17.62,93,100,21.85,US,1666733572,71.2906,-156.7887
Husavik,35.53,87,100,7.0,IS,1666733682,66.0449,-17.3389
Narasannapeta,72.54,79,56,5.21,IN,1666733749,18.4167,84.05
Kaeo,61.32,82,65,9.28,NZ,1666733372,-35.1,173.7833
Provideniya,28.51,64,100,17.9,RU,1666733587,64.3833,-173.3
Hasaki,52.2,63,100,29.91,JP,1666733578,35.7333,140.8333
Saint George,64.17,24,0,3.0,US,1666733409,37.1041,-113.5841
Bowen,81.5,79,53,3.4,AU,1666733750,-20.0167,148.2333
Alexandria,72.18,67,0,9.48,EG,1666733312,31.2156,29.9553
Atuona,77.32,68,3,16.51,PF,1666733538,-9.8,-139.0333
Hasilpur,74.14,22,0,5.82,PK,1666733752,29.7122,72.5553
Kapaa,82.38,75,40,14.97,US,1666733547,22.0752,-159.319
Lavrentiya,26.64,77,95,13.98,RU,1666733696,65.5833,-171.0
Clyde River,7.03,61,0,5.75,CA,1666733753,70.4692,-68.5914
Tilichiki,24.49,81,73,8.14,RU,1666733335,60.4667,166.1
Whitehorse,20.17,73,40,2.3,CA,1666733753,60.7161,-135.0538
Nemuro,45.61,54,9,5.48,JP,1666733754,43.3236,145.575
Katsuura,57.22,74,88,25.95,JP,1666733605,35.1333,140.3
Tasiilaq,32.16,96,100,4.18,GL,1666733486,65.6145,-37.6368
Tiksi,18.41,91,100,12.75,RU,1666733569,71.6872,128.8694
Mount Isa,71.37,100,40,8.05,AU,1666733268,-20.7333,139.5
Lázaro Cárdenas,83.44,76,28,10.45,MX,1666733635,17.9583,-102.2
Souris,33.66,74,100,11.52,CA,1666733755,49.6172,-100.2612
Saint Anthony,48.07,59,0,8.05,US,1666733443,45.0205,-93.218
Bogor,71.46,94,100,4.32,ID,1666733756,-6.5944,106.7892
Bluff,53.8,82,100,9.6,NZ,1666733522,-46.6,168.3333
Pangai,75.31,53,75,12.66,TO,1666733756,-19.8,-174.35
Kudahuvadhoo,81.01,80,50,12.01,MV,1666733757,2.6708,72.8944
New Norfolk,54.93,84,100,4.0,AU,1666733576,-42.7826,147.0587
Vilyuysk,24.31,91,98,8.34,RU,1666733758,63.7553,121.6247
Norman Wells,19.44,93,75,2.3,CA,1666733541,65.282,-126.8329
Port Macquarie,69.89,62,8,5.53,AU,1666733623,-31.4333,152.9167
Båtsfjord,28.18,86,100,14.97,NO,1666733758,70.6345,29.7185
Arraial do Cabo,73.26,78,40,10.36,BR,1666733677,-22.9661,-42.0278
Punta Arenas,50.11,66,100,12.66,CL,1666733527,-53.15,-70.9167
Poum,77.0,77,11,9.26,NC,1666733678,-20.2333,164.0167
Avarua,75.25,60,100,5.75,CK,1666733552,-21.2078,-159.775
Shache,50.32,26,75,3.22,CN,1666733759,38.4167,77.2406
Butaritari,81.21,76,57,3.38,KI,1666733561,3.0707,172.7902
Chui,60.48,80,12,11.9,UY,1666733553,-33.6971,-53.4616
Avera,75.76,45,98,6.29,US,1666733760,33.194,-82.5271
Hokitika,53.1,93,100,1.7,NZ,1666733760,-42.7167,170.9667
Rikitea,73.2,74,55,17.78,PF,1666733530,-23.1203,-134.9692
Jamestown,70.59,46,0,4.61,US,1666733289,42.097,-79.2353
Sinnamary,81.7,76,99,9.6,GF,1666733378,5.3833,-52.95
Ribeira Grande,61.77,72,85,4.0,PT,1666733686,38.5167,-28.7
Airai,62.96,88,100,1.1,TL,1666733557,-8.9266,125.4092
Teplyk,52.86,94,100,11.32,UA,1666733762,48.6657,29.745
San Quintín,71.08,27,0,11.1,MX,1666733609,30.4833,-115.95
Seoul,40.8,93,0,2.3,KR,1666733490,37.5683,126.9778
Sorong,79.43,87,93,7.74,ID,1666733763,-0.8833,131.25
Pisco,66.25,68,0,20.71,PE,1666733536,-13.7,-76.2167
